age,height_cm,weight_kgs,overall_rating,potential,value_euro,wage_euro,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),primary_position,body_type_clean,continent,pace_index,shooting_index,passing_index,dribbling_index,defending_index,physical_index,growth,position_group
20,187.96,72.1,61,73,375000.0,5000.0,Right,1,3,2,CB,Lean,Europe,48.5,34.5,34.833333333333336,42.0,62.4,61.0,12,Defender
26,187.96,89.8,73,75,3300000.0,15000.0,Right,2,1,1,GK,Normal,Europe,45.5,16.833333333333332,22.666666666666668,39.166666666666664,14.4,49.75,2,Goalkeeper
27,185.42,78.0,72,73,2900000.0,6000.0,Left,1,3,3,CB,Normal,Africa,79.0,38.166666666666664,54.5,65.16666666666667,69.8,76.0,1,Defender
28,185.42,73.9,70,73,1500000.0,7000.0,Right,1,3,1,GK,Normal,Europe,42.0,16.0,20.166666666666668,39.5,15.6,44.25,3,Goalkeeper
28,175.26,74.8,73,73,3300000.0,17000.0,Right,1,3,3,RB,Normal,South America,90.5,66.16666666666667,67.16666666666667,73.66666666666667,64.6,74.5,0,Defender
21,182.88,71.2,56,66,140000.0,1000.0,Right,1,3,2,CM,Lean,Europe,67.5,41.5,45.666666666666664,57.166666666666664,52.8,66.5,10,Midfielder
24,182.88,82.1,74,79,6500000.0,9000.0,Right,1,3,2,CB,Normal,Africa,72.5,48.833333333333336,47.0,65.5,72.8,77.25,5,Defender
22,187.96,86.2,58,69,190000.0,1000.0,Right,1,3,2,CB,Normal,Europe,61.0,26.833333333333332,25.166666666666668,45.333333333333336,56.6,68.25,11,Defender
26,152.4,66.2,63,66,475000.0,2000.0,Right,1,3,3,ST,Normal,Europe,74.0,64.0,58.666666666666664,66.83333333333333,25.4,45.5,3,Attacker
31,185.42,74.8,66,66,475000.0,2000.0,Left,1,3,3,LB,Lean,Europe,56.0,57.833333333333336,65.66666666666667,65.5,64.4,67.75,0,Defender
20,185.42,74.8,61,75,500000.0,1000.0,Right,1,3,2,CB,Normal,Europe,58.0,30.333333333333332,41.666666666666664,52.833333333333336,60.6,66.25,14,Defender
28,175.26,67.1,64,64,375000.0,1000.0,Right,1,4,2,CDM,Normal,Europe,65.0,55.666666666666664,57.0,63.666666666666664,60.2,67.5,0,Midfielder
21,172.72,72.1,60,74,400000.0,1000.0,Right,1,3,2,RB,Normal,Europe,80.0,42.666666666666664,50.166666666666664,57.5,55.6,62.0,14,Defender
25,154.94,74.8,63,66,375000.0,3000.0,Left,1,3,3,LWB,Lean,Europe,79.0,46.0,55.333333333333336,62.5,56.6,53.0,3,Defender
23,154.94,71.2,63,70,500000.0,2000.0,Right,1,3,3,CM,Normal,Europe,66.5,59.333333333333336,55.166666666666664,60.5,53.6,64.75,7,Midfielder
21,154.94,68.0,50,64,60000.0,2000.0,Right,1,3,2,CM,Lean,Oceania,64.0,42.333333333333336,49.5,56.166666666666664,36.4,45.5,14,Midfielder
23,185.42,64.0,61,70,375000.0,3000.0,Right,1,3,2,CM,Lean,Europe,69.5,51.166666666666664,54.0,60.666666666666664,47.4,66.5,9,Midfielder
25,175.26,73.9,75,78,7000000.0,40000.0,Left,1,4,4,CDM,Stocky,Europe,80.0,64.0,69.66666666666667,78.66666666666667,65.8,72.0,3,Midfielder
26,182.88,84.8,65,67,550000.0,2000.0,Left,1,2,2,CDM,Normal,Europe,62.0,49.333333333333336,59.5,66.83333333333333,63.2,79.5,2,Midfielder
19,182.88,68.9,61,79,525000.0,1000.0,Right,1,3,3,RM,Normal,Europe,71.5,51.5,48.666666666666664,61.333333333333336,25.2,55.5,18,Midfielder
27,175.26,73.0,68,68,950000.0,20000.0,Right,1,4,3,RM,Lean,Europe,74.5,61.833333333333336,57.5,72.66666666666667,26.0,55.25,0,Midfielder
21,182.88,74.8,55,63,110000.0,1000.0,Right,1,3,2,RB,Normal,Europe,64.5,36.0,46.0,54.0,48.6,61.75,8,Defender
17,152.4,66.2,51,65,60000.0,1000.0,Right,1,3,2,RB,Lean,Europe,71.0,33.333333333333336,41.166666666666664,53.5,48.0,50.5,14,Defender
33,182.88,77.1,72,72,1300000.0,14000.0,Right,1,3,2,CB,Normal,Africa,60.0,52.0,55.166666666666664,61.666666666666664,71.6,79.0,0,Defender
25,182.88,77.1,63,68,500000.0,1000.0,Right,1,3,2,ST,Stocky,South America,70.0,59.333333333333336,49.333333333333336,59.333333333333336,26.6,59.0,5,Attacker
30,185.42,78.0,65,65,425000.0,2000.0,Right,1,3,2,CB,Lean,Europe,67.5,41.166666666666664,57.166666666666664,65.0,62.6,70.5,0,Defender
30,185.42,79.8,72,72,3000000.0,8000.0,Right,1,3,3,ST,Normal,South America,65.0,69.0,57.833333333333336,65.16666666666667,41.4,68.75,0,Attacker
21,190.5,74.8,70,79,2400000.0,20000.0,Right,1,3,2,CB,Lean,Europe,64.5,28.833333333333332,43.0,61.166666666666664,67.8,70.5,9,Defender
21,182.88,72.1,50,63,50000.0,1000.0,Right,1,3,2,CB,Normal,South America,63.5,27.5,28.166666666666668,41.166666666666664,50.2,57.25,13,Defender
19,152.4,69.9,51,68,80000.0,1000.0,Right,1,2,2,CM,Lean,Oceania,63.5,33.833333333333336,36.666666666666664,56.5,49.8,56.0,17,Midfielder
21,152.4,63.0,70,79,2400000.0,10000.0,Right,1,3,3,RB,Lean,Europe,65.5,52.5,67.0,67.33333333333333,65.8,65.5,9,Defender
26,154.94,74.8,64,67,475000.0,3000.0,Right,1,3,2,CDM,Stocky,Africa,67.5,46.666666666666664,47.166666666666664,61.0,60.8,67.25,3,Midfielder
35,182.88,82.1,72,72,875000.0,11000.0,Left,2,2,3,LB,Normal,Europe,67.5,56.0,61.666666666666664,68.66666666666667,71.4,70.75,0,Defender
26,152.4,73.9,67,70,975000.0,6000.0,Right,1,3,3,ST,Normal,Europe,80.5,63.5,40.833333333333336,65.83333333333333,25.0,63.25,3,Attacker
27,154.94,76.2,62,62,260000.0,3000.0,Left,1,3,3,LB,Lean,South America,78.0,56.833333333333336,54.5,67.66666666666667,57.6,62.75,0,Defender
22,190.5,69.9,73,81,5000000.0,22000.0,Right,1,3,2,CB,Normal,North America,61.5,42.5,55.833333333333336,63.833333333333336,72.4,76.25,8,Defender
21,185.42,83.9,54,68,140000.0,1000.0,Right,1,3,2,CB,Lean,North America,55.5,26.5,25.0,42.0,51.2,62.75,14,Defender
18,182.88,66.2,52,70,100000.0,1000.0,Right,1,3,2,CM,Lean,Europe,67.5,42.833333333333336,46.166666666666664,49.666666666666664,45.6,57.0,18,Midfielder
21,190.5,81.2,57,66,120000.0,1000.0,Right,1,3,1,GK,Normal,North America,29.0,10.166666666666666,20.5,28.333333333333332,11.4,37.0,9,Goalkeeper
33,187.96,88.9,67,67,300000.0,4000.0,Right,1,3,2,CB,Normal,Europe,31.0,34.0,43.5,42.5,67.0,68.5,0,Defender
29,185.42,79.8,71,71,2400000.0,10000.0,Right,1,3,3,CM,Lean,Europe,59.0,62.5,65.0,72.0,69.4,68.25,0,Midfielder
23,185.42,84.8,66,74,950000.0,8000.0,Right,1,3,2,ST,Stocky,Europe,73.5,60.666666666666664,43.833333333333336,60.666666666666664,35.8,71.0,8,Attacker
19,152.4,73.9,65,78,975000.0,1000.0,Right,1,3,3,RM,Normal,Europe,81.5,48.666666666666664,50.166666666666664,65.66666666666667,41.2,46.25,13,Midfielder
27,154.94,73.9,65,65,550000.0,4000.0,Left,1,2,3,CM,Lean,South America,65.0,48.333333333333336,57.5,68.16666666666667,63.6,66.25,0,Midfielder
24,193.04,89.8,57,63,100000.0,1000.0,Right,1,2,1,GK,Normal,South America,23.0,11.0,17.666666666666668,25.833333333333332,11.6,39.25,6,Goalkeeper
20,170.18,64.9,59,74,300000.0,1000.0,Right,1,3,2,CDM,Normal,South America,66.0,41.5,47.833333333333336,58.333333333333336,54.8,59.0,15,Midfielder
21,154.94,69.9,55,68,150000.0,1000.0,Right,1,3,2,CB,Normal,South America,56.5,26.166666666666668,30.5,42.833333333333336,54.4,62.0,13,Defender
22,175.26,73.9,64,75,775000.0,1000.0,Right,1,3,3,RM,Lean,North America,78.0,58.166666666666664,50.0,65.66666666666667,27.6,53.25,11,Midfielder
33,190.5,83.0,72,72,1800000.0,27000.0,Left,1,3,2,CB,Normal,Europe,52.0,63.333333333333336,73.33333333333333,63.166666666666664,71.0,69.5,0,Defender
19,165.1,57.2,66,77,1000000.0,2000.0,Right,1,3,3,LW,Lean,North America,78.5,57.0,54.666666666666664,65.66666666666667,32.2,53.0,11,Attacker
22,172.72,66.2,74,82,8500000.0,11000.0,Right,1,5,4,RW,Lean,Europe,84.0,62.0,68.0,77.83333333333333,25.2,42.75,8,Attacker
29,172.72,67.1,69,69,1100000.0,3000.0,Right,1,3,2,ST,Lean,South America,81.5,66.83333333333333,54.5,67.33333333333333,36.0,73.5,0,Attacker
41,152.4,73.0,68,68,60000.0,1000.0,Right,1,3,1,GK,Normal,South America,54.5,18.333333333333332,29.833333333333332,44.666666666666664,17.8,50.5,0,Goalkeeper
38,187.96,88.0,57,57,10000.0,1000.0,Right,1,2,1,GK,Stocky,Europe,17.0,20.5,28.833333333333332,34.166666666666664,16.2,49.75,0,Goalkeeper
32,193.04,89.8,70,70,1300000.0,16000.0,Right,1,2,3,CM,Normal,Africa,53.5,64.33333333333333,62.666666666666664,59.5,69.0,88.0,0,Midfielder
25,182.88,73.9,65,72,650000.0,3000.0,Right,1,3,2,CB,Normal,Europe,71.5,35.166666666666664,48.833333333333336,60.166666666666664,62.2,81.5,7,Defender
18,152.4,64.9,64,80,950000.0,3000.0,Left,1,4,3,ST,Lean,Europe,78.0,57.666666666666664,44.333333333333336,69.0,35.2,58.75,16,Attacker
33,185.42,78.0,72,72,1800000.0,1000.0,Left,1,3,2,CB,Lean,Africa,82.0,43.5,53.833333333333336,65.66666666666667,69.2,80.25,0,Defender
24,154.94,76.2,64,67,575000.0,3000.0,Right,1,3,3,CM,Normal,Europe,73.5,57.666666666666664,58.833333333333336,64.16666666666667,56.0,68.5,3,Midfielder
25,185.42,81.2,73,75,4900000.0,18000.0,Right,1,3,3,LM,Normal,Africa,89.5,72.0,62.833333333333336,67.66666666666667,31.2,77.0,2,Midfielder
25,175.26,68.0,73,76,5000000.0,31000.0,Right,1,2,3,ST,Lean,Africa,92.5,67.33333333333333,60.666666666666664,75.83333333333333,35.4,66.75,3,Attacker
21,152.4,72.1,76,84,11500000.0,46000.0,Right,1,3,3,CM,Lean,Europe,75.5,71.0,73.16666666666667,76.83333333333333,67.8,63.75,8,Midfielder
31,152.4,68.9,67,67,725000.0,4000.0,Left,1,2,3,RM,Lean,Europe,78.0,58.666666666666664,63.166666666666664,70.66666666666667,39.8,55.5,0,Midfielder
23,187.96,73.9,59,65,180000.0,1000.0,Right,1,3,2,RB,Normal,Europe,63.0,40.666666666666664,48.0,57.833333333333336,57.8,67.0,6,Defender
22,172.72,68.0,64,73,700000.0,1000.0,Right,1,3,3,CM,Lean,Africa,75.0,56.833333333333336,56.0,66.83333333333333,60.8,69.0,9,Midfielder
26,185.42,82.1,70,73,2300000.0,5000.0,Right,1,3,3,ST,Normal,Europe,82.0,65.83333333333333,55.333333333333336,67.83333333333333,29.8,77.25,3,Attacker
31,182.88,81.2,64,64,425000.0,4000.0,Right,1,4,3,LM,Normal,Europe,70.5,64.16666666666667,53.166666666666664,65.66666666666667,29.4,67.5,0,Midfielder
24,187.96,77.1,72,79,3700000.0,27000.0,Right,1,3,3,CDM,Normal,Europe,58.5,58.5,67.33333333333333,68.83333333333333,69.2,67.25,7,Midfielder
26,172.72,74.8,69,72,1300000.0,1000.0,Right,1,3,3,ST,Stocky,South America,80.0,65.33333333333333,55.166666666666664,71.66666666666667,33.8,68.5,3,Attacker
21,165.1,68.9,58,70,200000.0,1000.0,Right,1,3,2,CDM,Stocky,South America,60.0,42.666666666666664,50.833333333333336,56.833333333333336,57.4,56.0,12,Midfielder
23,154.94,74.8,71,78,3300000.0,23000.0,Left,1,2,3,LM,Lean,Europe,85.5,57.833333333333336,61.333333333333336,70.0,39.2,62.75,7,Midfielder
33,190.5,78.0,60,60,170000.0,3000.0,Right,1,3,2,ST,Normal,Europe,52.0,60.833333333333336,43.5,51.666666666666664,37.6,79.0,0,Attacker
20,172.72,64.9,59,74,350000.0,2000.0,Right,1,3,3,CAM,Lean,Europe,76.0,53.5,40.833333333333336,59.0,24.0,51.0,15,Midfielder
20,182.88,77.1,55,72,190000.0,3000.0,Right,1,2,2,CM,Normal,Europe,67.5,48.333333333333336,50.333333333333336,51.666666666666664,52.2,65.25,17,Midfielder
24,190.5,83.0,61,68,260000.0,1000.0,Right,1,2,1,GK,Lean,Europe,39.5,18.0,27.0,35.666666666666664,16.8,38.75,7,Goalkeeper
21,175.26,64.9,56,68,140000.0,1000.0,Left,1,2,2,LB,Lean,Oceania,68.5,30.833333333333332,41.666666666666664,59.5,52.0,51.5,12,Defender
32,187.96,78.9,72,72,2500000.0,8000.0,Right,2,3,3,ST,Lean,Africa,69.5,69.16666666666667,65.5,69.16666666666667,44.8,66.75,0,Attacker
23,152.4,68.0,60,67,240000.0,1000.0,Right,1,3,2,RB,Lean,North America,78.5,43.0,49.5,59.833333333333336,56.0,58.75,7,Defender
21,175.26,74.8,62,72,500000.0,5000.0,Right,1,4,2,LM,Normal,Europe,90.5,48.333333333333336,45.5,62.0,38.0,65.75,10,Midfielder
23,182.88,82.1,62,71,400000.0,9000.0,Left,1,2,2,LB,Normal,Europe,67.0,38.5,50.666666666666664,55.333333333333336,62.2,63.25,9,Defender
21,152.4,72.1,58,67,170000.0,2000.0,Left,1,3,2,LB,Normal,Europe,67.5,30.333333333333332,45.666666666666664,57.666666666666664,56.4,56.0,9,Defender
22,152.4,77.1,70,78,2600000.0,15000.0,Right,1,3,3,CM,Normal,South America,67.5,56.0,63.166666666666664,67.5,67.4,66.75,8,Midfielder
23,172.72,68.0,70,79,2700000.0,5000.0,Right,1,4,3,RM,Normal,South America,82.0,60.0,61.0,76.0,44.6,61.25,9,Midfielder
28,182.88,78.0,61,61,260000.0,1000.0,Right,1,3,2,ST,Normal,Africa,62.5,57.666666666666664,35.666666666666664,57.833333333333336,28.6,61.25,0,Attacker
21,182.88,78.9,62,75,525000.0,1000.0,Left,1,3,3,LWB,Normal,Africa,74.0,53.666666666666664,55.666666666666664,62.833333333333336,55.8,53.0,13,Defender
28,175.26,63.0,64,64,375000.0,4000.0,Right,1,3,3,RB,Lean,North America,83.0,51.833333333333336,59.5,68.5,52.2,67.25,0,Defender
32,182.88,78.9,55,55,80000.0,1000.0,Right,1,4,2,ST,Normal,South America,61.5,52.0,32.0,52.833333333333336,21.0,54.75,0,Attacker
30,175.26,69.9,77,77,7000000.0,43000.0,Left,2,3,3,CDM,Normal,South America,68.0,57.666666666666664,60.833333333333336,73.83333333333333,70.2,76.5,0,Midfielder
31,182.88,77.1,68,68,675000.0,7000.0,Right,1,3,2,CB,Normal,Europe,53.5,34.0,46.5,54.833333333333336,67.8,68.5,0,Defender
21,185.42,79.8,62,73,525000.0,1000.0,Right,1,3,3,CM,Lean,Europe,55.0,52.166666666666664,61.0,64.16666666666667,48.4,49.0,11,Midfielder
20,187.96,64.9,55,68,150000.0,2000.0,Right,1,3,2,RB,Lean,Europe,77.0,42.333333333333336,46.333333333333336,51.833333333333336,46.8,61.5,13,Defender
25,175.26,68.0,63,66,475000.0,1000.0,Left,1,3,2,LM,Normal,Oceania,91.5,59.666666666666664,50.833333333333336,67.83333333333333,33.8,68.75,3,Midfielder
18,167.64,67.1,60,74,400000.0,1000.0,Right,1,3,2,CAM,Lean,South America,71.5,53.333333333333336,51.5,61.0,29.6,52.75,14,Midfielder
24,170.18,72.1,65,68,675000.0,1000.0,Left,1,2,3,LM,Stocky,South America,83.5,60.0,61.666666666666664,70.16666666666667,37.2,70.75,3,Midfielder
32,203.2,96.2,72,72,1900000.0,25000.0,Right,1,2,1,GK,Lean,Europe,45.0,14.333333333333334,26.333333333333332,37.333333333333336,19.0,45.75,0,Goalkeeper
20,182.88,74.8,65,78,1000000.0,10000.0,Right,1,3,2,CM,Lean,South America,66.5,55.833333333333336,59.5,61.833333333333336,63.6,63.0,13,Midfielder
24,187.96,76.2,74,79,7500000.0,37000.0,Right,1,3,3,ST,Normal,Europe,75.5,65.5,59.0,65.66666666666667,69.8,87.75,5,Attacker
31,190.5,87.1,64,64,270000.0,1000.0,Right,1,2,1,GK,Normal,North America,37.0,16.666666666666668,25.166666666666668,35.5,13.2,51.5,0,Goalkeeper
19,175.26,74.8,51,64,70000.0,1000.0,Right,1,3,2,CM,Lean,South America,62.0,37.333333333333336,46.5,56.0,49.0,57.5,13,Midfielder
23,175.26,78.0,79,85,17500000.0,27000.0,Right,1,3,3,RW,Normal,South America,91.5,72.33333333333333,74.33333333333333,79.5,45.2,70.5,6,Attacker
27,175.26,76.2,71,71,2500000.0,6000.0,Right,1,3,3,LM,Lean,South America,82.0,65.66666666666667,65.33333333333333,71.5,32.6,61.75,0,Midfielder
29,152.4,78.9,72,72,3200000.0,2000.0,Right,1,3,3,ST,Normal,South America,75.0,69.0,40.666666666666664,66.66666666666667,31.2,54.5,0,Attacker
21,182.88,76.2,65,79,1100000.0,3000.0,Right,1,3,2,CDM,Normal,Europe,69.5,47.833333333333336,55.166666666666664,64.0,60.2,72.0,14,Midfielder
27,175.26,73.0,71,72,2700000.0,7000.0,Left,1,3,3,CAM,Stocky,South America,80.5,64.66666666666667,68.16666666666667,72.16666666666667,36.8,59.75,1,Midfielder
28,193.04,84.8,72,72,2200000.0,44000.0,Left,1,2,1,GK,Lean,Europe,42.0,12.666666666666666,21.5,40.333333333333336,15.2,49.25,0,Goalkeeper
40,182.88,83.9,74,74,1600000.0,18000.0,Right,3,4,4,ST,Normal,South America,36.0,76.33333333333333,71.66666666666667,72.83333333333333,40.4,64.75,0,Attacker
21,152.4,73.0,57,71,210000.0,1000.0,Right,1,3,2,CDM,Normal,South America,61.0,35.0,42.0,54.5,52.4,64.5,14,Midfielder
24,170.18,64.9,60,66,280000.0,2000.0,Right,1,3,2,CM,Normal,South America,65.5,51.166666666666664,54.666666666666664,60.0,50.8,59.0,6,Midfielder
31,182.88,77.1,67,67,725000.0,3000.0,Right,1,4,3,RM,Normal,North America,62.0,67.33333333333333,63.833333333333336,67.83333333333333,54.8,73.5,0,Midfielder
35,185.42,83.0,62,62,160000.0,4000.0,Right,1,4,2,ST,Normal,Europe,50.0,61.166666666666664,49.166666666666664,59.666666666666664,40.6,69.0,0,Attacker
21,185.42,71.2,58,72,250000.0,4000.0,Left,1,2,2,LB,Normal,Europe,81.0,38.0,39.333333333333336,53.5,50.2,64.75,14,Defender
19,152.4,74.8,48,66,60000.0,1000.0,Left,1,2,2,CM,Lean,Europe,61.5,40.333333333333336,40.833333333333336,45.333333333333336,41.8,54.0,18,Midfielder
30,185.42,82.1,64,64,350000.0,1000.0,Right,1,3,2,CB,Normal,Europe,52.5,33.5,39.666666666666664,52.666666666666664,63.0,64.75,0,Defender
38,187.96,81.2,71,71,160000.0,2000.0,Right,1,2,1,GK,Normal,Europe,39.0,16.5,24.333333333333332,44.833333333333336,16.8,50.75,0,Goalkeeper
20,152.4,68.9,78,86,15000000.0,44000.0,Right,3,4,4,RM,Lean,North America,90.5,67.0,67.0,81.16666666666667,37.4,63.5,8,Midfielder
23,182.88,69.9,64,69,425000.0,2000.0,Right,1,4,1,GK,Normal,Europe,46.0,17.166666666666668,23.166666666666668,43.0,15.8,38.25,5,Goalkeeper
23,185.42,78.9,62,73,450000.0,1000.0,Right,1,3,2,CB,Normal,South America,51.0,25.666666666666668,38.166666666666664,48.5,62.6,64.0,11,Defender
33,154.94,73.9,64,64,260000.0,1000.0,Right,1,3,2,CB,Normal,South America,52.5,43.833333333333336,43.0,54.5,63.6,64.75,0,Defender
27,190.5,78.9,68,68,950000.0,17000.0,Left,1,2,3,RM,Lean,Europe,74.5,62.666666666666664,54.833333333333336,61.833333333333336,31.6,62.75,0,Midfielder
31,190.5,83.9,71,71,1800000.0,8000.0,Left,1,3,2,CB,Normal,South America,50.5,35.833333333333336,42.666666666666664,51.0,70.4,72.5,0,Defender
30,187.96,73.9,70,70,1700000.0,1000.0,Right,1,3,3,RM,Normal,South America,75.5,59.166666666666664,59.666666666666664,68.83333333333333,60.8,72.5,0,Midfielder
25,185.42,74.8,62,64,300000.0,2000.0,Right,1,3,2,CB,Normal,Europe,68.0,32.833333333333336,36.333333333333336,48.0,57.8,78.5,2,Defender
27,187.96,84.8,70,71,2100000.0,5000.0,Right,1,3,3,ST,Normal,North America,58.0,68.83333333333333,46.666666666666664,67.33333333333333,33.6,72.25,1,Attacker
29,190.5,83.0,67,67,600000.0,4000.0,Right,1,3,2,CB,Normal,Europe,35.0,34.333333333333336,30.666666666666668,51.166666666666664,66.2,69.75,0,Defender
30,182.88,81.2,71,71,1800000.0,2000.0,Left,1,4,2,CB,Lean,South America,61.0,51.833333333333336,66.16666666666667,58.0,70.2,75.75,0,Defender
25,170.18,67.1,67,70,950000.0,4000.0,Left,1,4,3,LM,Lean,North America,81.0,60.5,60.333333333333336,69.5,39.2,47.25,3,Midfielder
23,154.94,76.2,61,69,325000.0,11000.0,Right,1,4,2,RB,Normal,Europe,65.5,52.666666666666664,55.333333333333336,58.0,57.0,58.5,8,Defender
27,185.42,78.0,64,66,450000.0,3000.0,Right,1,3,2,CB,Normal,Europe,55.0,31.666666666666668,39.166666666666664,51.166666666666664,61.0,75.75,2,Defender
25,185.42,78.0,64,67,575000.0,2000.0,Left,1,4,2,CM,Lean,Europe,64.5,60.166666666666664,63.0,61.833333333333336,61.8,75.5,3,Midfielder
26,182.88,78.9,67,70,800000.0,3000.0,Right,1,3,3,RB,Normal,Europe,72.0,46.0,60.166666666666664,66.5,61.8,69.0,3,Defender
23,175.26,69.9,63,70,500000.0,1000.0,Right,1,3,2,CM,Normal,South America,56.0,40.166666666666664,51.0,63.5,60.6,71.75,7,Midfielder
25,187.96,83.9,61,64,270000.0,1000.0,Right,1,3,2,CB,Normal,Europe,63.0,35.0,39.666666666666664,59.5,58.6,68.25,3,Defender
24,152.4,73.9,60,67,240000.0,1000.0,Right,1,3,2,RB,Normal,South America,73.0,42.333333333333336,42.5,54.0,56.8,61.25,7,Defender
30,152.4,74.8,72,72,3100000.0,14000.0,Right,1,2,3,ST,Normal,South America,77.0,70.0,57.0,69.16666666666667,28.6,61.5,0,Attacker
20,182.88,78.9,53,68,110000.0,2000.0,Left,1,2,2,LB,Lean,Europe,69.0,28.333333333333332,32.0,48.833333333333336,50.6,60.5,15,Defender
26,185.42,83.0,67,70,675000.0,4000.0,Right,1,2,1,GK,Normal,Europe,30.0,11.5,22.166666666666668,32.833333333333336,11.6,45.0,3,Goalkeeper
31,187.96,87.1,73,73,2400000.0,10000.0,Right,1,2,1,GK,Normal,South America,43.5,17.166666666666668,22.333333333333332,38.166666666666664,16.2,45.0,0,Goalkeeper
26,190.5,96.2,68,73,850000.0,4000.0,Right,1,3,1,GK,Stocky,Europe,34.5,15.166666666666666,23.5,31.333333333333332,14.8,31.25,5,Goalkeeper
27,193.04,87.1,66,68,650000.0,2000.0,Left,1,3,2,CB,Normal,Europe,57.5,31.166666666666668,50.5,59.833333333333336,61.8,73.0,2,Defender
30,170.18,72.1,75,75,6500000.0,14000.0,Right,1,2,3,RM,Normal,South America,78.5,61.0,69.0,74.16666666666667,42.2,61.0,0,Midfielder
24,172.72,91.2,66,73,925000.0,2000.0,Left,1,2,2,ST,Stocky,South America,78.5,63.5,62.833333333333336,64.16666666666667,29.2,65.25,7,Attacker
23,182.88,64.9,65,74,725000.0,1000.0,Right,1,3,3,CDM,Lean,South America,61.5,53.5,51.5,62.333333333333336,61.2,63.75,9,Midfielder
27,172.72,68.0,67,67,625000.0,3000.0,Right,1,3,2,LB,Normal,Europe,70.0,45.5,57.333333333333336,64.66666666666667,61.0,78.5,0,Defender
27,170.18,73.0,69,70,1000000.0,4000.0,Right,1,3,3,RWB,Normal,Europe,73.0,49.0,59.666666666666664,69.66666666666667,59.0,77.0,1,Defender
21,172.72,64.9,62,74,550000.0,5000.0,Left,1,3,3,RM,Normal,Europe,71.0,60.166666666666664,57.0,63.333333333333336,28.6,43.75,12,Midfielder
25,187.96,76.2,67,70,825000.0,9000.0,Left,1,2,2,CB,Lean,Europe,66.0,31.5,48.166666666666664,60.666666666666664,65.4,71.75,3,Defender
24,152.4,74.8,72,78,4300000.0,10000.0,Right,1,3,3,LM,Lean,Europe,84.0,65.0,60.0,71.0,35.4,55.5,6,Midfielder
26,170.18,69.9,67,71,825000.0,2000.0,Right,1,3,2,CDM,Lean,South America,55.0,48.0,53.333333333333336,59.0,61.0,68.25,4,Midfielder
21,172.72,64.0,62,76,600000.0,4000.0,Left,1,3,2,LB,Normal,Europe,67.5,39.666666666666664,46.5,60.5,59.2,59.0,14,Defender
24,170.18,66.2,69,75,1200000.0,2000.0,Right,1,3,3,RB,Lean,South America,72.5,43.0,58.166666666666664,67.16666666666667,64.0,68.5,6,Defender
22,175.26,66.2,67,74,1100000.0,10000.0,Right,1,3,3,CM,Lean,North America,77.0,58.333333333333336,62.5,68.5,48.2,54.0,7,Midfielder
37,167.64,64.9,68,68,100000.0,4000.0,Right,2,4,3,LB,Normal,South America,73.0,55.833333333333336,60.5,70.0,61.6,75.25,0,Defender
25,152.4,72.1,68,72,1200000.0,1000.0,Left,1,3,3,CAM,Lean,South America,71.5,60.833333333333336,64.66666666666667,62.833333333333336,44.2,57.75,4,Midfielder
33,175.26,73.9,64,64,260000.0,1000.0,Right,1,3,2,CB,Normal,South America,58.0,36.5,43.833333333333336,55.833333333333336,63.2,72.75,0,Defender
23,172.72,74.8,73,79,4700000.0,6000.0,Right,1,3,3,CDM,Normal,North America,70.0,62.166666666666664,64.33333333333333,73.66666666666667,68.6,79.0,6,Midfielder
19,154.94,74.8,51,70,70000.0,1000.0,Right,1,2,2,CB,Normal,South America,60.5,27.333333333333332,26.666666666666668,43.0,50.4,57.75,19,Defender
20,185.42,78.9,68,82,1800000.0,5000.0,Right,1,2,2,CB,Normal,South America,60.0,35.833333333333336,36.666666666666664,53.5,67.0,74.75,14,Defender
24,154.94,69.9,58,64,150000.0,1000.0,Left,1,2,2,LB,Lean,South America,71.5,30.5,37.333333333333336,54.333333333333336,55.8,59.0,6,Defender
18,170.18,59.0,51,66,60000.0,1000.0,Left,1,2,2,LB,Lean,Europe,54.5,26.666666666666668,41.5,64.0,44.4,39.25,15,Defender
21,175.26,72.1,54,65,120000.0,1000.0,Right,1,3,2,CM,Normal,South America,66.5,42.666666666666664,50.833333333333336,59.5,36.6,53.25,11,Midfielder
29,154.94,72.1,67,67,600000.0,3000.0,Right,1,3,2,RB,Normal,Europe,66.5,52.5,57.5,62.833333333333336,63.4,70.5,0,Defender
20,167.64,55.8,62,79,650000.0,1000.0,Right,1,3,3,LM,Lean,Africa,79.5,51.0,51.666666666666664,66.0,20.8,40.25,17,Midfielder
38,175.26,79.8,69,69,140000.0,3000.0,Right,2,3,2,CB,Normal,North America,34.0,59.0,64.0,64.66666666666667,66.4,75.0,0,Defender
19,175.26,69.9,64,77,700000.0,1000.0,Left,1,3,3,LB,Normal,South America,67.0,38.666666666666664,56.0,62.0,60.8,64.0,13,Defender
18,182.88,68.0,54,67,110000.0,1000.0,Right,1,3,2,CB,Lean,South America,60.0,25.833333333333332,37.333333333333336,46.166666666666664,53.0,59.75,13,Defender
32,187.96,93.0,64,64,400000.0,2000.0,Right,1,3,2,ST,Lean,Europe,68.5,61.0,48.0,62.666666666666664,43.2,85.0,0,Attacker
